date_publication,reference,objet,acheteurs_public,lieux,date_limite,estimation,caution,url
16/07/2026,09/2026/INDH,"Organisation des sessions de formation et de renforcement des capacités, d’accompagnement et de consolidation de la performance de l’écosystème de l’INDH de la Préfecture d’Oujda-Angad au titre de l’année 2026.",WALI LA REGION DE L'ORIENTAL ET GOUVERNEUR DE LA PREFECTURE OUJDA ANGAD,OUJDA-ANGAD,"{'date': '11/08/2026', 'time': '10:00'}","216 000,00","3 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024094&orgAcronyme=g3h
17/07/2026,31/2026,"FOURNITURE, INSTALLATION ET MISE EN MARCHE DES CLIMATISEURS EN LOT UNIQUE.",LABORATOIRE PUBLIC D'ESSAIS ET D'ETUDES,CASABLANCA,"{'date': '11/08/2026', 'time': '10:00'}","0,00","0,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024516&orgAcronyme=o8p
17/07/2026,13/Portnet/2026,"la passation d’un marché pour la prestation d’acquisition, installation et mise en service d'une infrastructure d'intelligence artificielle (on-premise) pour le compte de PORTNET SA En lot unique",SOCIETE PORTNET SA,CASABLANCA,"{'date': '11/08/2026', 'time': '10:00'}","2 400 000,00","48 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024754&orgAcronyme=o8p
24/07/2026,05/2026/SR,": ACQUISITION ET INSTALLATION DES GUERITES MOBILES EN ALUMINIUM ET PARASOLS AU PROFIT DE LA SURETE REGIONALE DE TAZA, PROVINCE TAZA , DISTRICT PROVINCIAL DE TAOUNATE  ET LE COMMISSARIAT DE CIRCONSCRIPTION DE KARIAT BA MOHAMED   – PROVINCE TAOUNATE  . LOT UNIQUE –",CHEF DE LA SURETE REGIONALE TAZA,TAOUNATE,"{'date': '11/08/2026', 'time': '10:00'}","146 400,00","2 900,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1027029&orgAcronyme=g3h
29/07/2026,03/2026/BG,L’ACHAT DE MATERIEL INFORMATIQUE POUR LES ANNEXES ADMINISTRATIVES RELEVANT DE LA PROVINCE DE MEDIOUNA-LOT UNIQUE,GOUVERNEUR DE LA PROVINCE DE MEDIONA,MEDIOUNA,"{'date': '11/08/2026', 'time': '10:00'}","347 760,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1027206&orgAcronyme=g3h
28/07/2026,15/ODCO/2026.,L’achat du matériel et logiciels informatiques pour le compte de l’Office du Développement de la Coopération,OFFICE DE DEVELOPPEMENT DE LA COOPERATION,RABAT,"{'date': '11/08/2026', 'time': '10:00'}","346 272,00","6 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1028089&orgAcronyme=z0h
17/07/2026,9/2026/BG,Achat des Télécopieurs en lot unique,GOUVERNEUR DE LA PREFECTURE D'ARRONDISSEMENTS AL FIDA MERS SULTAN,Préfecture d'Elfida Derb Soltane,"{'date': '10/08/2026', 'time': '11:00'}","54 000,00","1 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017033&orgAcronyme=g3h
16/07/2026,05/TM/2026,TRAVAUX DE CONSTRUCTION DE BATIMENTS TOUS CORPS D’ETAT ET EQUIPEMENTS DU PROJET DU CENTRE DE REMISAGE DES BUS ROCADE DES DEUX MERS À TANGER,"Société de Développement Local ""Tanja Mobilité""",MAROC,"{'date': '10/08/2026', 'time': '11:00'}","29 882 132,76","500 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024194&orgAcronyme=g3h
29/07/2026,04/CAR/2026,PROJET INTEGRE D’EQUIPEMENT DU NOUVEAU SIEGE DE LA COMMUNE D’AIN ERREGGADA (1er Tranche).,Commune urbaine de AIN ERREGGADA,BERKANE,"{'date': '10/08/2026', 'time': '11:00'}","472 500,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1026158&orgAcronyme=f8y
30/07/2026,04/2026/CRRAR,"Acquisition de matériel informatique pour le Centre Régional de la Recherche Agronomique de Rabat, en lot unique",INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE/ CENTRE REGIONAL DE LA RECHERCHE AGRONOMIQUE DE RABAT,RABAT,"{'date': '10/08/2026', 'time': '11:00'}","168 000,00","3 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1028725&orgAcronyme=q1s
29/07/2026,CNER/04/2026,Achat de matériels informatiques pour le compte du Centre National d’Etudes et de Recherches Routières,CHEF DU CENTRE NATIONAL DES ETUDES ET DE RECHERCHES ROUTIERES,RABAT,"{'date': '10/08/2026', 'time': '10:00'}","261 600,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1019597&orgAcronyme=o8p
